player,team,position,pts,reb,ast,stl,blk,to,fgm,fga,3pm,3pa,ftm,fta,player_shot_value,player_offensive_flow,assist_turnover_ratio
Nneka Ogwumike,Los Angeles Sparks,F,16.853,8.647,3.147,1.176,0.382,1.794,6.5,12.765,1.471,3.647,2.382,2.853,0.561,0.498,177.914
Noemie Brochant,Phoenix Mercury,F,5.886,2.057,1.771,0.971,0.229,0.886,2.343,5.057,1.0,2.543,0.2,0.343,0.595,0.734,258.038
Nyadiew Puoch,Portland Fire,F,4.143,1.8,0.714,0.771,0.114,0.514,1.571,4.086,0.486,1.971,0.514,0.857,0.581,0.489,371.229
Nyara Sabally,Toronto Tempo,F,12.292,5.25,1.708,1.0,0.875,1.583,4.5,8.542,0.833,2.125,2.458,3.417,0.566,0.44,167.261
Odyssey Sims,Dallas Wings,G,5.517,1.103,2.241,0.517,0.069,1.0,1.966,4.793,0.552,1.586,1.034,1.241,0.493,1.118,242.305
Olivia Miles,Minnesota Lynx,G,19.686,4.686,6.029,1.2,0.629,3.114,6.971,14.114,1.6,4.029,4.143,4.771,0.628,1.032,30.964
Olivia Nelson-Ododa,Connecticut Sun,C,9.867,6.033,1.667,0.767,0.833,1.567,3.7,6.467,0.0,0.033,2.467,3.733,0.574,0.504,266.954
Ornella Bankole,Toronto Tempo,G,0.667,0.667,0.0,0.333,0.0,0.333,0.0,0.667,0.0,0.667,0.667,0.667,1.0,,0.0
Paige Bueckers,Dallas Wings,G,20.194,4.0,5.778,0.833,0.389,2.194,7.694,15.167,1.778,4.528,3.028,3.472,0.566,0.89,141.802
Pauline Astier,New York Liberty,G,9.605,2.421,3.526,0.895,0.158,1.632,3.5,6.237,0.421,1.158,2.184,2.447,0.578,1.247,238.191
Peyton Williams,Phoenix Mercury,F,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,999.0
Quionche Carter,Phoenix Mercury,G,1.154,0.692,0.538,0.385,0.0,0.154,0.231,1.385,0.0,0.692,0.692,1.231,0.424,1.0,384.231
Rachel Banham,Chicago Sky,G,4.71,1.194,1.129,0.29,0.258,0.839,1.613,4.355,1.065,3.226,0.419,0.516,0.78,0.659,290.435
Rae Burrell,Los Angeles Sparks,G,13.829,2.371,2.4,0.829,0.543,2.257,4.743,10.4,1.6,4.086,2.743,3.371,0.736,0.629,29.802
Raegan Beers,Connecticut Sun,F,3.393,2.857,0.75,0.429,0.143,0.857,1.214,2.607,0.107,0.25,0.857,1.321,0.523,0.611,143.054
Raquel Carrera,New York Liberty,F,1.65,1.05,0.35,0.05,0.1,0.4,0.55,0.9,0.1,0.35,0.45,0.7,0.972,0.214,199.925
Raven Johnson,Indiana Fever,G,3.441,1.971,1.382,0.471,0.118,0.912,1.382,3.382,0.353,1.412,0.324,0.441,0.508,1.302,118.186
Rayah Marshall,Connecticut Sun,C,0.5,1.0,0.0,0.0,0.0,1.5,0.0,2.5,0.0,0.0,0.5,1.0,0.167,,0.0
Rayah Marshall,Dallas Wings,C,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
Rebecca Allen,New York Liberty,G,5.19,2.19,0.667,0.571,0.429,0.476,1.81,4.524,1.095,2.905,0.476,0.524,0.821,0.45,380.762
